cultivo,variable,p10,mediana,p90,n_filas
arroz,arcilla_pct,13.583333333333336,21.85333333333333,30.433333333333334,35
arroz,arena_pct,30.02777777777778,58.04333333333333,58.86111111111112,35
arroz,materia_organica_pct,2.687524444444444,4.439299999999999,4.439299999999999,35
arroz,cec,22.244444444444444,23.03333333333333,23.62777777777778,35
algodon,ph,6.183333333333334,6.65,6.65,57
algodon,temp_media_c,22.50186813186813,24.026923076923087,26.17945054945055,57
algodon,temp_max_promedio_c,27.23428571428571,29.120329670329674,32.4721978021978,57
algodon,temp_min_promedio_c,17.879322644568546,19.42032967032967,20.928737164474867,57
algodon,precipitacion_total_mm,520.2600000000001,844.5999999999999,1146.3400000000001,57
algodon,humedad_relativa_promedio,59.36239716567586,70.5,76.4267339218159,57
algodon,arcilla_pct,23.450000000000003,23.450000000000003,36.59166666666667,57
algodon,arena_pct,16.475,37.26666666666667,37.26666666666667,57
algodon,materia_organica_pct,2.350386666666666,2.8503466666666664,3.390533333333333,57
algodon,cec,16.166666666666668,16.166666666666668,25.883333333333333,57
mani,ph,6.783333333333333,6.957142857142859,7.6,49
mani,temp_media_c,21.07043956043956,21.878571428571423,22.70386296763346,49
mani,temp_max_promedio_c,26.340219780219783,27.247252747252748,28.191584699453553,49
mani,temp_min_promedio_c,15.838599051222,16.704945054945057,17.501092896174864,49
mani,precipitacion_total_mm,420.66,570.3000000000001,720.0199999999999,49
mani,humedad_relativa_promedio,57.989311235212874,63.79781420765028,67.76940491202787,49
mani,arcilla_pct,14.4,19.557142857142857,31.23333333333333,49
mani,arena_pct,9.333333333333334,37.538095238095245,61.016666666666666,49
mani,materia_organica_pct,1.5113733333333332,2.421399047619047,2.666453333333333,49
mani,cec,17.445238095238093,18.547619047619047,21.71666666666667,49
