cultivo,region,provincia,departamento,campania,latitud,longitud,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tn,rendimiento_kg_ha,temp_media_c,temp_max_promedio_c,temp_min_promedio_c,precipitacion_total_mm,humedad_relativa_promedio,radiacion_solar_total,dias_helada,dias_clima_disponibles,dias_clima_esperados,arcilla_pct,arena_pct,limo_pct,materia_organica_pct,ph,cec,suelo_anillo_fallback,suelo_capas_disponibles,suelo_calidad
soja,pampeana,Buenos Aires,Pergamino,2000/2001,-33.89,-60.57,165000,165000,504000,3055,21.26043956043956,26.025274725274727,16.493956043956043,736.0,71.02197802197803,4025.8,0,182,182,26.992857142857147,12.35952380952381,60.62857142857143,3.1881685714285712,6.533333333333333,22.785714285714285,2,3,fallback_3km
soja,pampeana,Buenos Aires,Pergamino,2001/2002,-33.89,-60.57,169500,169250,502600,2970,20.81318681318681,25.4445054945055,16.192857142857147,915.9,70.1978021978022,3926.35,0,182,182,26.992857142857147,12.35952380952381,60.62857142857143,3.1881685714285712,6.533333333333333,22.785714285714285,2,3,fallback_3km
soja,pampeana,Buenos Aires,Pergamino,2002/2003,-33.89,-60.57,178150,178050,606000,3404,21.48956043956044,26.39835164835165,16.686813186813186,836.8,70.9010989010989,4059.400000000001,0,182,182,26.992857142857147,12.35952380952381,60.62857142857143,3.1881685714285712,6.533333333333333,22.785714285714285,2,3,fallback_3km
soja,pampeana,Buenos Aires,Pergamino,2003/2004,-33.89,-60.57,180000,180000,589000,3272,21.622950819672127,27.032240437158475,16.11693989071038,469.2,62.61202185792349,4514.049999999999,0,183,183,26.992857142857147,12.35952380952381,60.62857142857143,3.1881685714285712,6.533333333333333,22.785714285714285,2,3,fallback_3km
soja,pampeana,Buenos Aires,Pergamino,2004/2005,-33.89,-60.57,178439,178439,606243,3397,20.84230769230769,25.75659340659341,15.987362637362638,657.4,67.27472527472527,4135.32,0,182,182,26.992857142857147,12.35952380952381,60.62857142857143,3.1881685714285712,6.533333333333333,22.785714285714285,2,3,fallback_3km
soja,pampeana,Buenos Aires,Pergamino,2005/2006,-33.89,-60.57,180350,180350,649882,3603,21.01648351648352,26.28021978021978,15.673076923076923,533.1999999999999,63.68681318681319,4344.75,0,182,182,26.992857142857147,12.35952380952381,60.62857142857143,3.1881685714285712,6.533333333333333,22.785714285714285,2,3,fallback_3km
soja,pampeana,Buenos Aires,Pergamino,2006/2007,-33.89,-60.57,179850,179850,635910,3536,21.731868131868133,26.69615384615385,16.84835164835165,1073.7,68.73626373626374,4031.99,0,182,182,26.992857142857147,12.35952380952381,60.62857142857143,3.1881685714285712,6.533333333333333,22.785714285714285,2,3,fallback_3km
soja,pampeana,Buenos Aires,Pergamino,2007/2008,-33.89,-60.57,182700,182700,676126,3701,21.515300546448085,26.730054644808742,16.32622950819672,532.1999999999999,64.97267759562841,4335.3,0,183,183,26.992857142857147,12.35952380952381,60.62857142857143,3.1881685714285712,6.533333333333333,22.785714285714285,2,3,fallback_3km
soja,pampeana,Buenos Aires,Pergamino,2008/2009,-33.89,-60.57,188050,188050,399100,2122,22.511538461538464,27.92582417582417,17.120329670329674,502.2,60.34065934065934,4406.76,0,182,182,26.992857142857147,12.35952380952381,60.62857142857143,3.1881685714285712,6.533333333333333,22.785714285714285,2,3,fallback_3km
soja,pampeana,Buenos Aires,Pergamino,2009/2010,-33.89,-60.57,190900,190900,739400,3873,21.47417582417583,26.41648351648352,16.61208791208791,772.0,69.82417582417582,4083.48,0,182,182,26.992857142857147,12.35952380952381,60.62857142857143,3.1881685714285712,6.533333333333333,22.785714285714285,2,3,fallback_3km
